,MatchId,MapIdx,Team,vs,Map,Winner,Scores,SelectTeam,Half1,Half2,Rnd,AtkRnd,AtkScore,DefRnd,DefScore,HasOt,OtScore,PistolWin,AntiEcoWin,AntiEcoLoss,EcoWin,EcoLoss,CtWinDefuse,CtLossBoom,CtWinElim,CtLossElim,CtWinTimeout,TLossDefuse,TWinBoom,TWinElim,TLossElim,TLossTimeout
0,506930,1,EDG,TEC,Sunset,True,13-9,EDG,ct,t,22,10,4,12,9,False,0,1,1,0,0,1,2,0,7,3,0,1,0,4,5,0
1,506930,1,TEC,EDG,Sunset,False,9-13,EDG,t,ct,22,12,3,10,6,False,0,1,1,0,0,1,1,0,5,4,0,2,0,3,7,0
2,506930,2,EDG,TEC,Corrode,True,13-6,TEC,t,ct,19,12,7,7,6,False,0,2,2,0,0,0,1,1,5,0,0,1,0,7,4,0
3,506930,2,TEC,EDG,Corrode,False,6-13,TEC,ct,t,19,7,1,12,5,False,0,0,0,0,0,2,1,0,4,7,0,1,1,0,5,0
4,506931,1,BLG,TYL,Bind,True,13-5,TYL,t,ct,18,12,9,6,4,False,0,1,0,1,1,0,2,1,2,1,0,0,1,8,2,1
5,506931,1,TYL,BLG,Bind,False,5-13,TYL,ct,t,18,6,2,12,3,False,0,1,0,1,1,0,0,1,2,8,1,2,1,1,2,0
6,506931,2,BLG,TYL,Lotus,True,13-9,BLG,ct,t,22,10,5,12,8,False,0,2,1,1,0,0,1,0,5,4,2,2,1,4,3,0
7,506931,2,TYL,BLG,Lotus,False,9-13,BLG,t,ct,22,12,4,10,5,False,0,0,0,0,1,1,2,1,3,4,0,1,0,4,5,2
8,506932,1,AG,XLG,Sunset,True,13-3,XLG,ct,t,16,4,3,12,10,False,0,2,2,0,0,0,1,0,9,2,0,0,0,3,1,0
9,506932,1,XLG,AG,Sunset,False,3-13,XLG,t,ct,16,12,2,4,1,False,0,0,0,0,0,2,0,0,1,3,0,1,0,2,9,0
10,506932,2,AG,XLG,Lotus,False,7-13,AG,ct,t,20,8,3,12,4,False,0,2,2,0,0,0,0,1,4,7,0,1,0,3,3,1
11,506932,2,XLG,AG,Lotus,True,13-7,AG,t,ct,20,12,8,8,5,False,0,0,0,0,0,2,1,0,3,3,1,0,1,7,4,0
12,506932,3,AG,XLG,Ascent,False,3-13,Decider,t,ct,16,12,2,4,1,False,0,0,0,0,0,2,0,0,1,3,0,1,0,2,6,3
13,506932,3,XLG,AG,Ascent,True,13-3,Decider,ct,t,16,4,3,12,10,False,0,2,2,0,0,0,1,0,6,2,3,0,0,3,1,0
14,506933,1,WOL,FPX,Sunset,False,5-13,FPX,t,ct,18,12,5,6,0,False,0,0,0,0,0,2,0,1,0,5,0,5,2,3,2,0
15,506933,1,FPX,WOL,Sunset,True,13-5,FPX,ct,t,18,6,6,12,7,False,0,2,2,0,0,0,5,2,2,3,0,0,1,5,0,0
16,506933,2,WOL,FPX,Corrode,False,7-13,WOL,ct,t,20,8,5,12,2,False,0,1,1,0,0,1,2,3,0,7,0,1,2,3,2,0
17,506933,2,FPX,WOL,Corrode,True,13-7,WOL,t,ct,20,12,10,8,3,False,0,1,1,0,0,1,1,2,2,3,0,2,3,7,0,0
18,506934,1,DRG,NOVA,Lotus,True,13-8,DRG,ct,t,21,9,7,12,6,False,0,2,2,0,0,0,4,0,2,6,0,0,0,7,0,2
19,506934,1,NOVA,DRG,Lotus,False,8-13,DRG,t,ct,21,12,6,9,2,False,0,0,0,0,0,2,0,0,0,7,2,4,0,6,2,0
20,506934,2,DRG,NOVA,Icebox,False,12-14,NOVA,t,ct,26,13,8,13,4,True,0,1,1,0,0,1,2,2,2,7,0,3,1,7,2,0
21,506934,2,NOVA,DRG,Icebox,True,14-12,NOVA,ct,t,26,13,9,13,5,True,2,1,1,0,0,1,3,1,2,7,0,2,2,7,2,0
22,506934,3,DRG,NOVA,Ascent,True,13-5,Decider,ct,t,18,6,6,12,7,False,0,1,1,0,0,1,2,0,5,5,0,0,2,4,0,0
23,506934,3,NOVA,DRG,Ascent,False,5-13,Decider,t,ct,18,12,5,6,0,False,0,1,1,0,0,1,0,2,0,4,0,2,0,5,5,0
24,506935,1,JDG,TE,Icebox,False,7-13,JDG,ct,t,20,8,1,12,6,False,0,1,0,1,0,1,4,1,2,5,0,6,0,1,1,0
25,506935,1,TE,JDG,Icebox,True,13-7,JDG,t,ct,20,12,6,8,7,False,0,1,1,0,1,0,6,0,1,1,0,4,1,5,2,0
26,506935,2,JDG,TE,Lotus,True,13-4,TE,t,ct,17,12,8,5,5,False,0,2,2,0,0,0,4,0,1,0,0,4,1,7,0,0
27,506935,2,TE,JDG,Lotus,False,4-13,TE,ct,t,17,5,0,12,4,False,0,0,0,0,0,2,4,1,0,7,0,4,0,0,1,0
28,506935,3,JDG,TE,Haven,False,4-13,Decider,t,ct,17,12,2,5,2,False,0,1,1,0,0,1,0,1,2,2,0,3,0,2,5,2
29,506935,3,TE,JDG,Haven,True,13-4,Decider,ct,t,17,5,3,12,10,False,0,1,1,0,0,1,3,0,5,2,2,0,1,2,2,0
30,506936,1,TE,TYL,Corrode,False,7-13,TYL,t,ct,20,12,4,8,3,False,0,2,2,0,0,0,0,2,2,3,1,4,0,4,4,0
31,506936,1,TYL,TE,Corrode,True,13-7,TYL,ct,t,20,8,5,12,8,False,0,0,0,0,0,2,4,0,4,4,0,0,2,3,2,1
32,506936,2,TE,TYL,Bind,False,10-13,TE,t,ct,23,12,4,11,6,False,0,0,0,0,0,2,0,1,2,4,4,3,4,0,4,1
33,506936,2,TYL,TE,Bind,True,13-10,TE,ct,t,23,11,5,12,8,False,0,2,2,0,0,0,3,4,4,0,1,0,1,4,2,4
34,506937,1,FPX,NOVA,Haven,False,6-13,NOVA,ct,t,19,7,2,12,4,False,0,1,1,0,0,1,2,3,2,5,0,1,0,2,4,0
35,506937,1,NOVA,FPX,Haven,True,13-6,NOVA,t,ct,19,12,8,7,5,False,0,1,1,0,0,1,1,0,4,2,0,2,3,5,2,0
36,506937,2,FPX,NOVA,Ascent,True,13-8,FPX,t,ct,21,12,6,9,7,False,0,1,1,0,0,1,3,1,4,1,0,1,1,5,5,0
37,506937,2,NOVA,FPX,Ascent,False,8-13,FPX,ct,t,21,9,2,12,6,False,0,1,1,0,0,1,1,1,5,5,0,3,1,1,4,0
38,506937,3,FPX,NOVA,Bind,True,13-6,Decider,ct,t,19,7,3,12,10,False,0,1,1,0,0,1,2,1,8,1,0,0,1,2,3,1
39,506937,3,NOVA,FPX,Bind,False,6-13,Decider,t,ct,19,12,2,7,4,False,0,1,1,0,0,1,0,1,3,2,1,2,1,1,8,0
40,506938,1,AG,WOL,Bind,True,13-2,WOL,ct,t,15,3,3,12,10,False,0,2,2,0,0,0,3,0,7,2,0,0,1,2,0,0
41,506938,1,WOL,AG,Bind,False,2-13,WOL,t,ct,15,12,2,3,0,False,0,0,0,0,0,2,0,1,0,2,0,3,0,2,7,0
42,506938,2,AG,WOL,Corrode,True,13-4,AG,t,ct,17,12,9,5,4,False,0,2,2,0,0,0,0,0,4,1,0,1,0,9,2,0
43,506938,2,WOL,AG,Corrode,False,4-13,AG,ct,t,17,5,1,12,3,False,0,0,0,0,0,2,1,0,2,9,0,0,0,1,4,0
44,506939,1,JDG,BLG,Sunset,False,7-13,BLG,ct,t,20,8,5,12,2,False,0,0,0,0,1,1,1,1,1,9,0,1,2,3,2,0
45,506939,1,BLG,JDG,Sunset,True,13-7,BLG,t,ct,20,12,10,8,3,False,0,2,1,1,0,0,1,2,2,3,0,1,1,9,1,0
46,506939,2,JDG,BLG,Ascent,True,15-13,JDG,t,ct,28,14,6,14,9,True,3,0,0,0,1,1,5,0,4,5,0,2,1,5,5,1
47,506939,2,BLG,JDG,Ascent,False,13-15,JDG,ct,t,28,14,5,14,8,True,1,2,1,1,0,0,2,1,5,5,1,5,0,5,4,0
48,506939,3,JDG,BLG,Icebox,False,4-13,Decider,ct,t,17,5,0,12,4,False,0,1,1,0,0,1,3,3,1,5,0,2,0,0,3,0
49,506939,3,BLG,JDG,Icebox,True,13-4,Decider,t,ct,17,12,8,5,5,False,0,1,1,0,0,1,2,0,3,0,0,3,3,5,1,0
50,506940,1,TYL,TEC,Haven,True,13-2,TYL,ct,t,15,3,3,12,10,False,0,2,2,0,0,0,2,0,7,2,1,0,0,3,0,0
51,506940,1,TEC,TYL,Haven,False,2-13,TYL,t,ct,15,12,2,3,0,False,0,0,0,0,0,2,0,0,0,3,0,2,0,2,7,1
52,506940,2,TYL,TEC,Lotus,True,13-10,TEC,ct,t,23,11,6,12,7,False,0,1,0,1,0,1,4,1,2,4,1,4,1,5,1,0
53,506940,2,TEC,TYL,Lotus,False,10-13,TEC,t,ct,23,12,5,11,5,False,0,1,1,0,1,0,4,1,1,5,0,4,1,4,2,1
54,506941,1,TE,EDG,Sunset,True,13-8,EDG,t,ct,21,12,7,9,6,False,0,1,1,0,0,1,4,0,2,3,0,3,0,7,2,0
55,506941,1,EDG,TE,Sunset,False,8-13,EDG,ct,t,21,9,3,12,5,False,0,1,1,0,0,1,3,0,2,7,0,4,0,3,2,0
56,506941,2,TE,EDG,Bind,False,11-13,TE,t,ct,24,12,6,12,5,False,0,1,1,0,1,0,2,0,3,7,0,2,3,3,4,0
57,506941,2,EDG,TE,Bind,True,13-11,TE,ct,t,24,12,7,12,6,False,0,1,0,1,0,1,2,3,4,3,0,2,0,7,3,0
58,506941,3,TE,EDG,Icebox,True,13-3,Decider,ct,t,16,4,4,12,9,False,0,2,2,0,0,0,2,0,5,3,2,0,1,3,0,0
59,506941,3,EDG,TE,Icebox,False,3-13,Decider,t,ct,16,12,3,4,0,False,0,0,0,0,0,2,0,1,0,3,0,2,0,3,5,2
60,506942,1,DRG,AG,Lotus,False,5-13,DRG,t,ct,18,12,3,6,2,False,0,2,1,1,0,0,1,0,1,4,0,4,0,3,5,0
61,506942,1,AG,DRG,Lotus,True,13-5,DRG,ct,t,18,6,4,12,9,False,0,0,0,0,1,1,4,0,5,3,0,1,0,4,1,0
62,506942,2,DRG,AG,Corrode,True,13-7,AG,t,ct,20,12,9,8,4,False,0,1,1,0,0,1,0,0,3,4,1,2,2,7,1,0
63,506942,2,AG,DRG,Corrode,False,7-13,AG,ct,t,20,8,4,12,3,False,0,1,1,0,0,1,2,2,1,7,0,0,0,4,3,1
64,506942,3,DRG,AG,Sunset,True,13-10,Decider,ct,t,23,11,8,12,5,False,0,2,2,0,0,0,2,2,3,5,0,0,0,8,2,1
65,506942,3,AG,DRG,Sunset,False,10-13,Decider,t,ct,23,12,7,11,3,False,0,0,0,0,0,2,0,0,2,8,1,2,2,5,3,0
66,506943,1,XLG,WOL,Haven,True,13-9,XLG,t,ct,22,12,6,10,7,False,0,1,1,0,0,1,1,0,5,3,1,3,3,3,2,1
67,506943,1,WOL,XLG,Haven,False,9-13,XLG,ct,t,22,10,3,12,6,False,0,1,1,0,0,1,3,3,2,3,1,1,0,3,5,1
68,506943,2,XLG,WOL,Lotus,True,13-8,WOL,t,ct,21,12,7,9,6,False,0,1,1,0,0,1,3,0,3,3,0,3,1,6,2,0
69,506943,2,WOL,XLG,Lotus,False,8-13,WOL,ct,t,21,9,3,12,5,False,0,1,1,0,0,1,3,1,2,6,0,3,0,3,3,0
70,506945,1,TEC,BLG,Bind,False,9-13,BLG,t,ct,22,12,4,10,5,False,0,2,2,0,0,0,2,0,3,5,0,3,0,4,5,0
71,506945,1,BLG,TEC,Bind,True,13-9,BLG,ct,t,22,10,5,12,8,False,0,0,0,0,0,2,3,0,5,4,0,2,0,5,3,0
72,506945,2,TEC,BLG,Ascent,False,8-13,TEC,t,ct,21,12,3,9,5,False,0,0,0,0,0,2,1,0,3,4,1,3,1,2,6,0
73,506945,2,BLG,TEC,Ascent,True,13-8,TEC,ct,t,21,9,4,12,9,False,0,2,2,0,0,0,3,1,6,2,0,1,0,4,3,1
74,506946,1,FPX,DRG,Haven,True,13-7,DRG,ct,t,20,8,6,12,7,False,0,0,0,0,0,2,3,3,4,2,0,1,2,4,1,0
75,506946,1,DRG,FPX,Haven,False,7-13,DRG,t,ct,20,12,5,8,2,False,0,2,2,0,0,0,1,2,1,4,0,3,3,2,4,0
76,506946,2,FPX,DRG,Ascent,False,6-13,FPX,t,ct,19,12,6,7,0,False,0,0,0,0,0,2,0,4,0,3,0,0,3,3,5,1
77,506946,2,DRG,FPX,Ascent,True,13-6,FPX,ct,t,19,7,7,12,6,False,0,2,2,0,0,0,0,3,5,3,1,0,4,3,0,0
78,506946,3,FPX,DRG,Sunset,True,13-11,Decider,ct,t,24,12,3,12,10,False,0,1,1,0,0,1,4,0,6,2,0,3,0,3,4,2
79,506946,3,DRG,FPX,Sunset,False,11-13,Decider,t,ct,24,12,2,12,9,False,0,1,1,0,0,1,3,0,4,3,2,4,0,2,6,0
80,506947,1,NOVA,AG,Haven,True,13-10,NOVA,t,ct,23,12,8,11,5,False,0,1,1,0,1,0,3,5,2,1,0,2,4,4,2,0
81,506947,1,AG,NOVA,Haven,False,10-13,NOVA,ct,t,23,11,6,12,4,False,0,1,0,1,0,1,2,4,2,4,0,3,5,1,2,0
82,506947,2,NOVA,AG,Corrode,False,9-13,AG,ct,t,22,10,3,12,6,False,0,1,1,0,0,1,0,1,1,5,5,4,1,2,1,2
83,506947,2,AG,NOVA,Corrode,True,13-9,AG,t,ct,22,12,6,10,7,False,0,1,1,0,0,1,4,1,1,2,2,0,1,5,1,5
84,506947,3,NOVA,AG,Lotus,False,6-13,Decider,t,ct,19,12,5,7,1,False,0,0,0,0,0,2,0,0,1,6,0,5,1,4,2,0
85,506947,3,AG,NOVA,Lotus,True,13-6,Decider,ct,t,19,7,6,12,7,False,0,2,2,0,0,0,5,1,2,4,0,0,0,6,1,0
86,506948,1,TYL,EDG,Corrode,False,10-13,TYL,ct,t,23,11,4,12,6,False,0,1,1,0,0,1,3,1,1,5,2,1,1,3,6,0
87,506948,1,EDG,TYL,Corrode,True,13-10,TYL,t,ct,23,12,6,11,7,False,0,1,1,0,0,1,1,1,6,3,0,3,1,5,1,2
88,506948,2,TYL,EDG,Ascent,False,9-13,EDG,ct,t,22,10,4,12,5,False,0,2,2,0,0,0,3,1,1,6,1,1,0,4,5,0
89,506948,2,EDG,TYL,Ascent,True,13-9,EDG,t,ct,22,12,7,10,6,False,0,0,0,0,0,2,1,0,5,4,0,3,1,6,1,1
90,506949,1,TEC,JDG,Lotus,False,9-13,JDG,t,ct,22,12,5,10,4,False,0,2,2,0,0,0,1,1,3,5,0,3,1,4,4,0
91,506949,1,JDG,TEC,Lotus,True,13-9,JDG,ct,t,22,10,6,12,7,False,0,0,0,0,0,2,3,1,4,4,0,1,1,5,3,0
92,506949,2,TEC,JDG,Haven,True,13-9,TEC,ct,t,22,10,5,12,8,False,0,0,0,0,2,0,3,0,5,4,0,2,0,5,2,1
93,506949,2,JDG,TEC,Haven,False,9-13,TEC,t,ct,22,12,4,10,5,False,0,2,0,2,0,0,2,0,2,5,1,3,0,4,5,0
94,506949,3,TEC,JDG,Sunset,False,11-13,Decider,t,ct,24,12,3,12,8,False,0,1,1,0,0,1,5,0,3,4,0,1,0,3,6,2
95,506949,3,JDG,TEC,Sunset,True,13-11,Decider,ct,t,24,12,4,12,9,False,0,1,1,0,0,1,1,0,6,3,2,5,0,4,3,0
96,506950,1,BLG,TE,Haven,True,13-6,TE,t,ct,19,12,8,7,5,False,0,2,2,0,0,0,2,2,2,0,1,1,2,6,2,1
97,506950,1,TE,BLG,Haven,False,6-13,TE,ct,t,19,7,2,12,4,False,0,0,0,0,0,2,1,2,2,6,1,2,2,0,2,1
98,506950,2,BLG,TE,Icebox,False,13-15,BLG,ct,t,28,14,6,14,7,True,1,1,1,0,0,1,2,1,5,6,0,2,1,5,5,1
99,506950,2,TE,BLG,Icebox,True,15-13,BLG,t,ct,28,14,7,14,8,True,3,1,1,0,0,1,2,1,5,5,1,2,1,6,5,0
100,506950,3,BLG,TE,Ascent,False,6-13,Decider,t,ct,19,12,4,7,2,False,0,0,0,0,0,2,0,1,1,4,1,0,2,2,6,2
101,506950,3,TE,BLG,Ascent,True,13-6,Decider,ct,t,19,7,5,12,8,False,0,2,2,0,0,0,0,2,6,2,2,0,1,4,1,1
102,506951,1,WOL,DRG,Lotus,True,14-12,DRG,t,ct,26,13,8,13,6,True,2,1,1,0,1,0,5,1,1,6,0,4,0,8,1,0
103,506951,1,DRG,WOL,Lotus,False,12-14,DRG,ct,t,26,13,7,13,5,True,0,1,0,1,0,1,4,0,1,8,0,5,1,6,1,0
104,506951,2,WOL,DRG,Icebox,False,11-13,WOL,ct,t,24,12,4,12,7,False,0,0,0,0,0,2,3,1,3,4,1,2,0,4,6,0
105,506951,2,DRG,WOL,Icebox,True,13-11,WOL,t,ct,24,12,5,12,8,False,0,2,2,0,0,0,2,0,6,4,0,3,1,4,3,1
106,506951,3,WOL,DRG,Ascent,True,13-10,Decider,t,ct,23,12,5,11,8,False,0,1,1,0,1,0,2,1,6,2,0,2,1,4,5,0
107,506951,3,DRG,WOL,Ascent,False,10-13,Decider,ct,t,23,11,3,12,7,False,0,1,0,1,0,1,2,1,5,4,0,2,1,2,6,0
108,506952,1,XLG,FPX,Haven,True,13-8,XLG,t,ct,21,12,10,9,3,False,0,2,1,1,0,0,1,2,2,4,0,0,2,8,2,0
109,506952,1,FPX,XLG,Haven,False,8-13,XLG,ct,t,21,9,6,12,2,False,0,0,0,0,1,1,0,2,2,8,0,1,2,4,2,0
110,506952,2,XLG,FPX,Sunset,True,14-12,FPX,ct,t,26,13,6,13,8,True,2,2,2,0,0,0,4,1,2,4,2,0,0,6,7,0
111,506952,2,FPX,XLG,Sunset,False,12-14,FPX,t,ct,26,13,5,13,7,True,0,0,0,0,0,2,0,0,7,6,0,4,1,4,2,2
112,506953,1,NOVA,XLG,Sunset,False,10-13,XLG,ct,t,23,11,5,12,5,False,0,0,0,0,0,2,2,2,3,5,0,0,0,5,5,1
113,506953,1,XLG,NOVA,Sunset,True,13-10,XLG,t,ct,23,12,7,11,6,False,0,2,2,0,0,0,0,0,5,5,1,2,2,5,3,0
114,506953,2,NOVA,XLG,Haven,False,3-13,NOVA,ct,t,16,4,1,12,2,False,0,1,1,0,0,1,2,3,0,7,0,1,1,0,2,0
115,506953,2,XLG,NOVA,Haven,True,13-3,NOVA,t,ct,16,12,10,4,3,False,0,1,1,0,0,1,1,1,2,0,0,2,3,7,0,0
